filename,source_path,width,height,format,mode,bytes,sha256,slides,categories,selected,context
image1.png,ppt/media/image1.png,1620,1618,PNG,RGBA,4992938,23db9aad2f8483072c56bf93a9c33473d0417c4cdfd96b98cf800e69f11d4576,"1,14,15","hardware,product",True,基于 Intel DK-2500 的桌面智能伙伴 智能情感桌面助理 Welcome to Meet 小安 Presented by 张子尧 郑斯锐 施宇灏 From HKUST(GZ) | 从虚拟中走出来，在现实中走近你 小安 Intel 杯嵌入式大赛 · 2026 基于 Intel DK-2500 的桌面智能伙伴 | 感谢评委
image10.png,ppt/media/image10.png,1672,941,PNG,RGB,1524831,b445e8e96e583410b9ac7abafd0f8944df53628bce894972060b9449e10cfbef,5,"hardware,product",True,情绪陪伴 ： 主动式状态关怀 效率助手 ： 无打断任务承接 主动感知用户情绪并关怀； 与用户正常互动，提供情绪价值 核心 解法 ： 基于 Intel DK-2500 的桌面智能伙伴：小安 语音交互记录待办提醒，无需切屏，不干扰工作主线
image11.png,ppt/media/image11.png,1267,845,PNG,RGB,777982,7df0df3f40e5761aad5a1bf342b5da024e47c48f4b9576cd1d234d50592e4fd3,6,"hardware,product",True,部件组成 ： 基于 Intel DK-2500 的桌面智能伙伴：小 安
image12.png,ppt/media/image12.png,741,1111,PNG,RGB,877016,182b9ac833c67fa299df680b6f03c61f64dbfa1da6e63bd70376844326a90355,6,"hardware,product",True,部件组成 ： 基于 Intel DK-2500 的桌面智能伙伴：小 安
image13.png,ppt/media/image13.png,1195,896,PNG,RGB,1233284,99dba4c95d6d6820432dc1f54d41a5e156313c51186149a9267b38c711533f2f,6,"hardware,product",True,部件组成 ： 基于 Intel DK-2500 的桌面智能伙伴：小 安
image14.jpeg,ppt/media/image14.jpeg,4032,3024,JPEG,RGB,1783983,bc8d1a02589531a2f1cce16185098d4470a95f3e6dd6b137b9949c5d148a5812,6,"hardware,product",True,部件组成 ： 基于 Intel DK-2500 的桌面智能伙伴：小 安
image15.png,ppt/media/image15.png,1672,941,PNG,RGB,861126,d522c393b0086eeebdf648f1cbfacc8ed7d59801b6c4dcb849cddf1ebd6dccbf,7,"architecture,product",True,demo1&2 ：语音请求响应链路（请求陪伴 / 任务完成） 小安功能演示 demo3 ：视觉感知主动关怀链路 用户主动开口，小安完成理解、回复与具身反馈 用户无需开口，小安感知疲劳并主动介入
image16.png,ppt/media/image16.png,2106,747,PNG,RGB,959836,1fb46b9127a006ff90dacc780449e098f2b6eacdc33cdb7e89dc17f1c14af3b3,7,"architecture,product",True,demo1&2 ：语音请求响应链路（请求陪伴 / 任务完成） 小安功能演示 demo3 ：视觉感知主动关怀链路 用户主动开口，小安完成理解、回复与具身反馈 用户无需开口，小安感知疲劳并主动介入
image17.png,ppt/media/image17.png,1672,941,PNG,RGB,1404103,489829724e696c2c76cc6dd6c06f13fe4b1c9d5e796b7674f4385292379db900,8,"architecture,hardware",True,端边协同架构：机器人本体 + Intel 边缘基站 + OpenClaw 服务层 机器人提供具身感知与反馈， intel DK-2500 承担本地模型推理与通信中枢， OpenClaw 负责用户理解、任务编排与决策生成
image18.jpeg,ppt/media/image18.jpeg,1438,560,JPEG,RGB,21932,c80c612b0b9363d50925ec384064c550f6597b3c96b27f165517b02165cc061e,"9,10,11,14,15","architecture,expression,hardware,product",True,Intel DK-2500 ： 边缘智能中枢 | 核心算法：低打扰主动关怀机制 | 四大核心竞争力 主动感知 摄像头+情绪阈值机制 主动关注用户状态 有身体的 Agent OpenClaw 从屏幕走进物理世界 把理解、反馈与行动变成可悲感知的真实体验 通过机器人的表情、声音与运动能力回到桌面 算力分离架构 机器人轻量执行，基站集中处理 esp32-s3 负责表情、声音和运动 突破本体算力 与功耗限制 Intel 生态 + 隐私 边界 Intel DK-2500 NPU 本地推理 提供 AI 推理底座 结合 openvino/npu 加速 原始 数据不出设备 ，上传结构化事件 | 从虚拟中走出来，在现实中走近你 小安 Intel 杯嵌入式大赛 · 2026 基于 Intel DK-2500 的桌面智能伙伴 | 感谢评委
image19.png,ppt/media/image19.png,1770,888,PNG,RGB,1445702,62a0fd1147c8c870f86c98fabd6d9db3311f5798a77c4715225f6aa8a270fb4f,9,"architecture,hardware",True,Intel DK-2500 ： 边缘智能中枢
image2.jpeg,ppt/media/image2.jpeg,1438,560,JPEG,RGB,43327,9ee7ee06555e4fc0051448f8e85135fdbc37c9d17589864eb7bb5e2f4bf44d89,"1,2,11,14,15","architecture,expression,hardware,product",True,基于 Intel DK-2500 的桌面智能伙伴 智能情感桌面助理 Welcome to Meet 小安 Presented by 张子尧 郑斯锐 施宇灏 From HKUST(GZ) | 项目背景：桌面工作中的两类困扰 | 四大核心竞争力 主动感知 摄像头+情绪阈值机制 主动关注用户状态 有身体的 Agent OpenClaw 从屏幕走进物理世界 把理解、反馈与行动变成可悲感知的真实体验 通过机器人的表情、声音与运动能力回到桌面 算力分离架构 机器人轻量执行，基站集中处理 esp32-s3 负责表情、声音和运动 突破本体算力 与功耗限制 Intel 生态 + 隐私 边界 Intel DK-2500 NPU 本地推理 提供 AI 推理底座 结合 openvino/npu 加速 原始 数据不出设备 ，上传结构化事件 | 从虚拟中走出来，在现实中走近你 小安 Intel 杯嵌入式大赛 · 2026 基于 Intel DK-2500 的桌面智能伙伴 | 感谢评委
image20.png,ppt/media/image20.png,1616,1379,PNG,RGBA,729331,a8bd82f1a47cd117cc140df43f39518081e42516a8b23a583c34ff773fb83f9f,"9,10","architecture,hardware",True,Intel DK-2500 ： 边缘智能中枢 | 核心算法：低打扰主动关怀机制
image21.png,ppt/media/image21.png,1500,898,PNG,RGBA,3743223,a6c566dbdf66bd1417f617021f34e2b682421fefb3e18d76442550f8d6e09433,"9,10","architecture,hardware",True,Intel DK-2500 ： 边缘智能中枢 | 核心算法：低打扰主动关怀机制
image22.png,ppt/media/image22.png,1536,1024,PNG,RGB,1532811,dbf76449389a49b2a167a39e911b7ae58911db8c7e21869e496660a7818ec3e8,10,architecture,True,核心算法：低打扰主动关怀机制
image23.png,ppt/media/image23.png,103,103,PNG,RGBA,6270,ae92d720a950197a06eae64f9d9794ad848c5d3e42437c4202eb91ea84dd7579,11,"architecture,expression,hardware",False,四大核心竞争力 主动感知 摄像头+情绪阈值机制 主动关注用户状态 有身体的 Agent OpenClaw 从屏幕走进物理世界 把理解、反馈与行动变成可悲感知的真实体验 通过机器人的表情、声音与运动能力回到桌面 算力分离架构 机器人轻量执行，基站集中处理 esp32-s3 负责表情、声音和运动 突破本体算力 与功耗限制 Intel 生态 + 隐私 边界 Intel DK-2500 NPU 本地推理 提供 AI 推理底座 结合 openvino/npu 加速 原始 数据不出设备 ，上传结构化事件
image24.png,ppt/media/image24.png,103,103,PNG,RGBA,4091,f85aada0b81254d2039cf7b88383ea3c3abc9f68d009fa97a38d32421365ac44,11,"architecture,expression,hardware",False,四大核心竞争力 主动感知 摄像头+情绪阈值机制 主动关注用户状态 有身体的 Agent OpenClaw 从屏幕走进物理世界 把理解、反馈与行动变成可悲感知的真实体验 通过机器人的表情、声音与运动能力回到桌面 算力分离架构 机器人轻量执行，基站集中处理 esp32-s3 负责表情、声音和运动 突破本体算力 与功耗限制 Intel 生态 + 隐私 边界 Intel DK-2500 NPU 本地推理 提供 AI 推理底座 结合 openvino/npu 加速 原始 数据不出设备 ，上传结构化事件
image25.png,ppt/media/image25.png,103,103,PNG,RGBA,3357,dcb0c561fb69f107ac3e143db34858a1847bcfad8816d67d421b1b383b212625,11,"architecture,expression,hardware",False,四大核心竞争力 主动感知 摄像头+情绪阈值机制 主动关注用户状态 有身体的 Agent OpenClaw 从屏幕走进物理世界 把理解、反馈与行动变成可悲感知的真实体验 通过机器人的表情、声音与运动能力回到桌面 算力分离架构 机器人轻量执行，基站集中处理 esp32-s3 负责表情、声音和运动 突破本体算力 与功耗限制 Intel 生态 + 隐私 边界 Intel DK-2500 NPU 本地推理 提供 AI 推理底座 结合 openvino/npu 加速 原始 数据不出设备 ，上传结构化事件
image26.png,ppt/media/image26.png,103,103,PNG,RGBA,6772,3a94f40e5648d37d9e351ab45ba77e07588f965ca6ae79c2da81db6356197fb4,11,"architecture,expression,hardware",False,四大核心竞争力 主动感知 摄像头+情绪阈值机制 主动关注用户状态 有身体的 Agent OpenClaw 从屏幕走进物理世界 把理解、反馈与行动变成可悲感知的真实体验 通过机器人的表情、声音与运动能力回到桌面 算力分离架构 机器人轻量执行，基站集中处理 esp32-s3 负责表情、声音和运动 突破本体算力 与功耗限制 Intel 生态 + 隐私 边界 Intel DK-2500 NPU 本地推理 提供 AI 推理底座 结合 openvino/npu 加速 原始 数据不出设备 ，上传结构化事件
image27.png,ppt/media/image27.png,1672,941,PNG,RGB,1274251,1f55ec86b97b45cd5ab6cca945bbc32747a74814dc23c76f4451b02b8baa3ff1,11,"architecture,expression,hardware",True,四大核心竞争力 主动感知 摄像头+情绪阈值机制 主动关注用户状态 有身体的 Agent OpenClaw 从屏幕走进物理世界 把理解、反馈与行动变成可悲感知的真实体验 通过机器人的表情、声音与运动能力回到桌面 算力分离架构 机器人轻量执行，基站集中处理 esp32-s3 负责表情、声音和运动 突破本体算力 与功耗限制 Intel 生态 + 隐私 边界 Intel DK-2500 NPU 本地推理 提供 AI 推理底座 结合 openvino/npu 加速 原始 数据不出设备 ，上传结构化事件
image28.png,ppt/media/image28.png,1672,941,PNG,RGB,1174571,854149be894a03bcf980bc5f9fe57c4e77d77c5ae3d7d7586f7fbbfcc3c8a028,12,supporting,False,
image29.png,ppt/media/image29.png,1118,244,PNG,RGB,58647,dc22c13482ccca9d3f1bba5e18d6f5ab5af54c323b5abceb0e52d1e9c812d83d,13,"architecture,hardware,product",True,"知识产权声明 我们在此承诺：本作品""小安""的系统架构设计、软硬件实现方案及项目创意均为团队原创成果，不涉及侵犯任何第三方知识产权及其他合法权利。项目中使用的开源框架与工具库（如 OpenClaw、OpenVINO、Sherpa-ONNX 等）均遵循其原始开源协议。"
image3.png,ppt/media/image3.png,1122,1402,PNG,RGBA,1210465,3b1f73f9c9189b81d5f65a5abec0c3afd4002da7bee62f0e1a80e9e8f541217b,"1,14","hardware,product",True,基于 Intel DK-2500 的桌面智能伙伴 智能情感桌面助理 Welcome to Meet 小安 Presented by 张子尧 郑斯锐 施宇灏 From HKUST(GZ) | 从虚拟中走出来，在现实中走近你 小安 Intel 杯嵌入式大赛 · 2026 基于 Intel DK-2500 的桌面智能伙伴
image4.png,ppt/media/image4.png,1293,1104,PNG,RGBA,683839,febf1e85fa94fe5240011fde5df547ce29b2d02ea69a0cfc8ac021c954a2ce38,"2,3,5,6,7,8,11","architecture,expression,hardware,product",True,项目背景：桌面工作中的两类困扰 | 需求验证：问卷调查分析与想法印证 用户需要的是一个能提供陪伴感与情绪价值、又能顺手处理一些小事情的助手 | 情绪陪伴 ： 主动式状态关怀 效率助手 ： 无打断任务承接 主动感知用户情绪并关怀； 与用户正常互动，提供情绪价值 核心 解法 ： 基于 Intel DK-2500 的桌面智能伙伴：小安 语音交互记录待办提醒，无需切屏，不干扰工作主线 | 部件组成 ： 基于 Intel DK-2500 的桌面智能伙伴：小 安 | demo1&2 ：语音请求响应链路（请求陪伴 / 任务完成） 小安功能演示 demo3 ：视觉感知主动关怀链路 用户主动开口，小安完成理解、回复与具身反馈 用户无需开口，小安感知疲劳并主动介入 | 端边协同架构：机器人本体 + Intel 边缘基站 + OpenClaw 服务层 机器人提供具身感知与反馈， intel DK-2500 承担本地模型推理与通信中枢， OpenClaw 负责用户理解、任务编排与决策生成 | 四大核心竞争力 主动感知 摄像头+情绪阈值机制 主动关注用户状态 有身体的 Agent OpenClaw 从屏幕走进物理世界 把理解、反馈与行动变成可悲感知的真实体验 通过机器人的表情、声音与运动能力回到桌面 算力分离架构 机器人轻量执行，基站集中处理 esp32-s3 负责表情、声音和运动 突破本体算力 与功耗限制 Intel 生态 + 隐私 边界 Intel DK-2500 NPU 本地推理 提供 AI 推理底座 结合 openvino/npu 加速 原始 数据不出设备 ，上传结构化事件
